Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,Team Heretics,killjoy,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,Team Heretics,raze,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,Team Heretics,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,FNATIC,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,FNATIC,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,FNATIC,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,FNATIC,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,FNATIC,fade,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,Sentinels,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,Sentinels,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,Sentinels,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,Sentinels,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,Sentinels,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,EDward Gaming,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,EDward Gaming,neon,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,EDward Gaming,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,EDward Gaming,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,EDward Gaming,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Sentinels,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Sentinels,fade,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Sentinels,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Sentinels,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Sentinels,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,EDward Gaming,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,EDward Gaming,clove,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,LEVIATÁN,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,LEVIATÁN,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,LEVIATÁN,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,LEVIATÁN,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,LEVIATÁN,raze,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Team Heretics,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Team Heretics,fade,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Team Heretics,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Team Heretics,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,Team Heretics,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,Sentinels,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,Sentinels,neon,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,Sentinels,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,Sentinels,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,Sentinels,fade,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,EDward Gaming,cypher,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,LEVIATÁN,viper,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,LEVIATÁN,killjoy,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,LEVIATÁN,harbor,1,0,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,Team Heretics,neon,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,Team Heretics,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,Team Heretics,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,Team Heretics,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,Team Heretics,gekko,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,EDward Gaming,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,EDward Gaming,jett,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,EDward Gaming,kayo,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,EDward Gaming,viper,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,EDward Gaming,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,LEVIATÁN,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,LEVIATÁN,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,LEVIATÁN,viper,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,LEVIATÁN,harbor,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Icebox,LEVIATÁN,killjoy,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,EDward Gaming,breach,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,EDward Gaming,clove,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,LEVIATÁN,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,LEVIATÁN,breach,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,LEVIATÁN,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,LEVIATÁN,fade,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Lotus,LEVIATÁN,raze,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,EDward Gaming,jett,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,EDward Gaming,astra,1,0,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,LEVIATÁN,omen,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,LEVIATÁN,sova,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,LEVIATÁN,jett,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,LEVIATÁN,cypher,0,1,1
Valorant Champions 2024,Playoffs,Upper Final,Abyss,LEVIATÁN,harbor,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,EDward Gaming,omen,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,EDward Gaming,sova,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,EDward Gaming,cypher,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,EDward Gaming,neon,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,EDward Gaming,breach,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,Team Heretics,omen,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,Team Heretics,sova,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,Team Heretics,cypher,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,Team Heretics,neon,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Haven,Team Heretics,breach,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,EDward Gaming,cypher,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,Team Heretics,omen,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,Team Heretics,sova,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,Team Heretics,cypher,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,Team Heretics,raze,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Sunset,Team Heretics,kayo,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,EDward Gaming,fade,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,EDward Gaming,neon,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,EDward Gaming,breach,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,EDward Gaming,clove,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,Team Heretics,omen,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,Team Heretics,raze,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,Team Heretics,fade,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,Team Heretics,viper,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Lotus,Team Heretics,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,EDward Gaming,raze,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,EDward Gaming,fade,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,EDward Gaming,viper,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,EDward Gaming,gekko,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,EDward Gaming,brimstone,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,Team Heretics,raze,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,Team Heretics,fade,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,Team Heretics,viper,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,Team Heretics,gekko,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Bind,Team Heretics,brimstone,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,EDward Gaming,omen,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,EDward Gaming,sova,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,EDward Gaming,kayo,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,EDward Gaming,astra,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,EDward Gaming,jett,1,0,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,Team Heretics,sova,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,Team Heretics,cypher,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,Team Heretics,gekko,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,Team Heretics,astra,0,1,1
Valorant Champions 2024,Playoffs,Grand Final,Abyss,Team Heretics,jett,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,DRX,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,DRX,viper,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,DRX,raze,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,DRX,fade,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,DRX,chamber,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,Trace Esports,omen,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,Trace Esports,viper,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,Trace Esports,raze,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,Trace Esports,fade,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,Trace Esports,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,DRX,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,DRX,sova,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,DRX,cypher,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,DRX,jett,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,DRX,kayo,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,Trace Esports,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,Trace Esports,cypher,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,Trace Esports,astra,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,Trace Esports,jett,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,Trace Esports,kayo,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,G2 Esports,omen,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,G2 Esports,viper,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,G2 Esports,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,G2 Esports,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,G2 Esports,yoru,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,FNATIC,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,FNATIC,sova,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,FNATIC,cypher,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,FNATIC,yoru,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,FNATIC,iso,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,G2 Esports,viper,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,G2 Esports,raze,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,G2 Esports,gekko,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,G2 Esports,skye,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,G2 Esports,brimstone,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,FNATIC,viper,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,FNATIC,raze,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,FNATIC,fade,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,FNATIC,astra,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,FNATIC,gekko,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,Team Heretics,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,Team Heretics,cypher,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,Team Heretics,gekko,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,Team Heretics,jett,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,Team Heretics,astra,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,DRX,sova,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,DRX,cypher,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,DRX,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,DRX,kayo,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,DRX,jett,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Team Heretics,sova,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Team Heretics,raze,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Team Heretics,cypher,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Team Heretics,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Team Heretics,kayo,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,DRX,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,DRX,cypher,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,DRX,omen,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,DRX,breach,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,DRX,neon,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Sentinels,raze,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Sentinels,cypher,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Sentinels,omen,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Sentinels,gekko,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,Sentinels,kayo,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,FNATIC,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,FNATIC,raze,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,FNATIC,cypher,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,FNATIC,astra,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,FNATIC,breach,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,Team Heretics,sova,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,Team Heretics,viper,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,Team Heretics,gekko,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,Team Heretics,killjoy,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,Team Heretics,neon,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,DRX,sova,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,DRX,viper,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,DRX,kayo,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,DRX,killjoy,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Icebox,DRX,jett,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,Sentinels,raze,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,Sentinels,viper,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,Sentinels,gekko,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,Sentinels,fade,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,Sentinels,brimstone,0,1,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,FNATIC,raze,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,FNATIC,viper,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,FNATIC,gekko,1,0,1
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,FNATIC,fade,1,0,1
