Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Champions Tour 2024: China Kickoff,1926,All Stages,,All Match Types,
Champions Tour 2024: EMEA Kickoff,1925,Playoffs,3721,Semifinals,23748
Champions Tour 2024: EMEA Kickoff,1925,Playoffs,3721,Grand Final,23749
Champions Tour 2024: EMEA Kickoff,1925,Play-In Stage,3720,Play-ins,23817
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Opening (A),23375
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Winner's (A),23376
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Elimination (A),23377
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Decider (A),23378
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Opening (B),23379
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Winner's (B),23380
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Elimination (B),23381
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Decider (B),23382
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Opening (C),23383
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Winner's (C),23384
Champions Tour 2024: EMEA Kickoff,1925,Group Stage,3639,Decider (C),23386
Champions Tour 2024: EMEA Kickoff,1925,All Stages,,All Match Types,
Champions Tour 2024: Pacific Kickoff,1924,Playoffs,3723,Semifinals,23315
Champions Tour 2024: Pacific Kickoff,1924,Playoffs,3723,Grand Final,23316
Champions Tour 2024: Pacific Kickoff,1924,Play-Ins,3722,Play-ins,23314
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Opening (B),23244
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Winner's (B),23245
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Elimination (B),23246
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Decider (B),23247
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Opening (A),23248
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Winner's (A),23249
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Elimination (A),23250
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Decider (A),23251
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Opening (C),23256
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Winner's (C),23257
Champions Tour 2024: Pacific Kickoff,1924,Group Stage,3638,Decider (C),23259
Champions Tour 2024: Pacific Kickoff,1924,All Stages,,All Match Types,
